ID_AREA	NOME_AREA	TIPO_AREA	LAT	LONG
464	Dr. Pádua Walfrido	Praça	-8.097461844	-34.93703052
465	Franco Gomes Coutinho	Praça	-8.078626485	-34.91971566
466	Da Juventude	Praça	-8.117294235	-34.94616336
467	Vereador Carlos Duarte	Praça	-8.052914011	-34.87953664
468	Padre Romano Zuffery	Praça	-8.080472999	-34.94025329
469	Queira Deus	Praça	-8.092483772	-34.96183406
470	Quinze  De Setembro	Praça	-8.117062053	-34.91715269
471	Ana Lima Brandão	Praça	-8.09549176	-34.94386536
472	Da Rua Arnoldo Magalhães	Praça	-8.027008037	-34.90924086
473	Compositor Antônio Maria	Praça	-8.040307848	-34.91378683
474	Do Caiara Jonathan Marques Da Cunha	Parque	-8.041767548	-34.92317634
475	Jonathan Marques Da Cunha	Parque	-8.03841897	-34.92763868
476	Jonathan Marques Da Cunha	Parque	-8.040234263	-34.92601552
477	Doutor Fernando Figueira	Praça	-8.065514974	-34.89326168
478	De Apipucos	Parque	-8.021990604	-34.93320107
479	Provisória  Mauricio De Nassau E Duarte Coelho	Praça	-8.071509944	-34.87621436
480	Da Tamarineira	Parque	-8.032919802	-34.90181629
481	João Francisco Lisboa	Praça	-8.053074889	-34.95955794
482	Do Terminal	Praça	-8.094489339	-34.92404121
483	Refugo	Praça	-8.090526773	-34.92996294
484	Zeppelin	Praça	-8.083288224	-34.92522742
485	Do Tourão	Praça	-8.092859902	-34.92536535
486	Infantil John F. Kennedy	Parque	-8.081735785	-34.95581679
487	Professor Paulo Silveira Do Nascimento	Praça	-8.083186297	-34.92185723
488	João Stanislau	Praça	-8.097661118	-34.93837157
489	Queira Deus	Praça	-8.092678047	-34.96173746
490	Dom Helder	Praça	-8.081500114	-34.95375576
491	Padre Romano Zuferey	Praça	-8.078357109	-34.93973457
492	Maria Madalena Bispo	Praça	-8.079585171	-34.9521782
493	Zeppelin	Praça	-8.07290586	-34.92792277
494		Praça	-8.070007656	-34.90027463
495	Zumbi Dos Palmares	Praca	-8.01054197	-34.9308843
496	Do Jordao / Da Rua Muniz Ferreira	Praça	-8.130438342	-34.93801131
497	De Santana	Parque	-8.042019233	-34.91782559
498		Praca	-8.124246154	-34.95112973
499		Praca	-8.086837182	-34.92314045
500		Praca	-8.134214402	-34.95134622
501		Praca	-8.066851556	-34.93340057
502		Praca	-8.089731349	-34.94989529
503		Praca	-8.090665807	-34.92269581
504		Praca	-8.134950419	-34.95371043
505		Area Verde	-8.091539168	-34.91636613
